X,Y,Depth
416368.8301,4695539.914,30
416439.5421,4694952.949,46
414427.8904,4694604.013,5
409871.0144,4692656.075,11
414562.834,4689549.388,10
417009.5635,4694051.559,40
415213.6646,4689822.198,45
415849.1047,4690912.729,45
410145.8418,4686621.589,36
411763.828,4694214.494,23
412593.4517,4689786.545,72
409407.1549,4688799.77,14
412744.3024,4693443.312,12
418174.7632,4695142.193,4
418246.0195,4688910.06,113
417466.0141,4692815.316,62
418680.0947,4687075.735,1
418283.2317,4695424.728,114
418609.2862,4686694.045,15
416639.5369,4694660.587,22
415355.2726,4690937.192,55
412327.4086,4672120.049,0
420281.0346,4673441.389,110
416356.5831,4675124.923,48
420090.9827,4670232.392,148
414111.7257,4673791.59,35
418547.3382,4667887.2,16
417942.415,4671518.728,10
415809.083,4670177.373,60
410815.2282,4678225.358,36
410110.5556,4668082.247,84
413267.4757,4674508.356,7
419657.8396,4675299.293,20
412105.0362,4670475.554,132
418011.9769,4675913.634,80
416618.9769,4673662.73,103
411609.7509,4677801.956,4
411503.5502,4673549.355,90
411338.9032,4668483.138,47
418590.5546,4678957.706,38
417475.7336,4681589.664,24
414003.4753,4681622.081,90
416169.664,4678868.949,11
417702.3333,4679032.832,48
410648.9923,4682811.532,25
417979.5268,4682361.119,12
416917.3265,4678727.426,28
415925.3828,4684683.587,55
415107.8426,4682401.432,9
412225.6501,4682335.082,70
414936.4702,4680355.208,12
418497.6868,4676679.169,126
415171.0946,4683844.35,16
454566.4024,4656527.385,58
454210.8392,4656279.848,170
463356.5731,4657608.332,85
462493.3827,4652132.135,30
461726.7238,4668526.129,8
456428.2576,4663254.901,30
454527.1561,4651845.674,50
461627.9971,4652861.566,110
459444.5787,4666287.326,65
426767.2873,4688473.39,5
424660.3272,4692990.177,20
423661.0122,4694460.098,69
422265.475,4690884.811,60
424584.6061,4694662.923,80
428599.7732,4694485.042,100
425714.5284,4688891.655,8
422645.2111,4688813.827,71
426322.2842,4689893.934,60
420182.6387,4685963.376,89
426549.8261,4688466.413,120
421802.508,4690396.407,33
425339.4075,4692979.812,17
423276.9288,4692169.245,23
424199.0096,4691570.011,28
422654.3018,4687564.41,79
423807.0531,4694643.59,35
420614.6991,4688941.426,82
427487.0198,4690578.917,38
421832.5691,4694723.995,62
419273.5657,4688722.311,29
425717.6294,4686377.593,65
424924.2902,4690522.642,18
424459.6893,4691351.262,120
421865.1693,4686783.471,65
421466.3546,4690613.017,42
422471.0427,4695602.216,42
414243.0241,4666864.75,7
409963.5284,4665193.691,2
408501.5711,4660634.692,98
411737.3403,4666577.929,80
409045.8957,4663117.067,46
418985.0086,4666028.272,20
408808.0271,4663194.169,37
418117.8567,4667663.907,48
418869.504,4666165.324,200
414777.6277,4652165.945,86
415021.7109,4659464.398,6
413900.6289,4652873.678,30
418234.7126,4657726.877,4
412888.0673,4651519.549,18
416816.8964,4654427.421,80
415301.7804,4651755.574,108
418286.845,4654876.083,15
418244.0986,4650971.465,90
413769.8166,4650250.231,90
414620.6626,4654410.375,15
414762.742,4659140.54,12
408967.8822,4657056.535,30
417482.1038,4656850.325,7
417878.734,4659927.264,45
411047.1434,4656604.4,43
417223.4097,4654188.226,8
416466.6438,4654755.43,180
411958.1544,4653514.486,8
419454.8927,4657299.54,16
438916.7351,4650229.602,70
447565.7851,4652874.58,13
440063.0604,4651663.312,38
437503.1875,4662354.489,16
449427.8852,4662749.463,126
440241.0276,4657213.731,26
439101.4892,4657531.89,40
443816.88,4650213.757,10
443707.4027,4653807.907,50
446589.9017,4662810.452,57
439407.7345,4652495.502,105
440042.1674,4652456.177,8
444237.5251,4655719.107,130
445905.3893,4655280.523,50
445813.004,4654022.811,140
446122.8585,4655158.574,15
445147.8941,4655132.133,50
456674.9157,4654786.959,145
448501.3861,4650924.592,125
453957.3782,4656537.49,55
440092.0206,4655086.748,63
445161.4483,4655101.184,30
442386.7945,4657106.485,95
447214.961,4653629.764,68
444167.4625,4659365.403,80
444772.4139,4650906.397,50
448048.2843,4655949.198,130
440000.9518,4654378.106,125
442555.1787,4654915.198,10
440205.7564,4656575.555,110
438926.8603,4662854.055,8
438695.8263,4657927.117,75
437291.2396,4661245.961,130
440793.077,4650941.599,72
436090.3269,4661549.746,70
451320.0801,4659068.875,30
437238.4388,4661249.515,154
441262.367,4656212,138
442215.0346,4656056.106,5
440223.9066,4663339.554,10
438074.6434,4658635.78,150
445223.8116,4654841.615,80
448438.6805,4660939.919,42
448751.2682,4656527.014,165
440337.3623,4656645.386,80
438849.4507,4650430.668,64
440527.3414,4654361.328,46
447877.1081,4663593.522,18
452366.4986,4661942.523,80
447365.7346,4661219.254,58
448138.4629,4659156.267,12
464765.2031,4674598.746,200
449614.7576,4675067.227,20
457594.3539,4672346.62,40
461157.2598,4678420.764,50
461890.6705,4680147.085,25
458110.9988,4683990.196,100
462842.8232,4683892.597,98
470228.5379,4728717.905,95
470284.1043,4720987.757,16
466315.9876,4731533.587,4
471964.5361,4723747.593,38
468068.3512,4729887.347,5
467435.2753,4731167.324,18
448830.8567,4676029.061,50
442950.9701,4681897.835,5
447198.7799,4679986.154,3
451283.9623,4687325.414,7
450099.1889,4682589.825,25
433097.5099,4700514.289,75
435624.6487,4701335.72,19
434587.9227,4706225.348,71
430805.7717,4708964.126,45
432954.0159,4702459.025,65
429261.0688,4704685.669,30
436434.062,4681790.338,105
432539.7342,4683628.091,0
437092.64,4683206.391,37
435990.0065,4690344.866,71
435332.1068,4689206.518,43
436758.219,4688018.264,110
432970.0788,4691986.396,48
439854.0493,4679974.26,20
435199.916,4680589.383,20
440383.7819,4684889.582,12
437211.9535,4681696.97,90
439543.3551,4691226.319,101
435858.4424,4687218.277,30
430262.7952,4684924.308,40
435266.2653,4687775.867,26
434428.9485,4686824.337,172
436488.4926,4691330.487,45
437384.8421,4688231.642,25
441363.4333,4679659.215,60
433578.1997,4679879.655,153
441943.5778,4691057.94,84
430299.6791,4684489.007,20
468793.6125,4696309.146,253
